Fecha	Valor
25-08-2017	638.64
24-08-2017	641.47
23-08-2017	641.47
22-08-2017	642.73
21-08-2017	646.57
18-08-2017	645.29
17-08-2017	645.86
16-08-2017	647.59
14-08-2017	647.77
11-08-2017	647.42
10-08-2017	649.5
09-08-2017	649.53
08-08-2017	650.52
07-08-2017	649.88
04-08-2017	650.17
03-08-2017	652.77
02-08-2017	651.93
01-08-2017	652.23
31-07-2017	651.58
28-07-2017	647.99
27-07-2017	648.75
26-07-2017	648.77
25-07-2017	650.65
24-07-2017	651.82
21-07-2017	651.56
20-07-2017	653.71
19-07-2017	656.01
18-07-2017	656.92
17-07-2017	658.18
14-07-2017	660.71
13-07-2017	663.46
12-07-2017	666.59
11-07-2017	666.53
10-07-2017	666.61
07-07-2017	666.22
06-07-2017	665.94
05-07-2017	663.36
04-07-2017	661.95
03-07-2017	664.29
30-06-2017	663.21
29-06-2017	662.36
28-06-2017	662.09
27-06-2017	661.72
23-06-2017	664.00
22-06-2017	664.54
21-06-2017	663.76
20-06-2017	662.47
19-06-2017	663.73
16-06-2017	665.23
15-06-2017	659.46
14-06-2017	662.19
13-06-2017	661.63
12-06-2017	664.47
09-06-2017	666.28
08-06-2017	668.36
07-06-2017	668.7
06-06-2017	668.89
05-06-2017	670.41
02-06-2017	672.37
01-06-2017	672.35
31-05-2017	675.31
30-05-2017	674.02
29-05-2017	670.25
26-05-2017	669.42
25-05-2017	674.27
24-05-2017	672.4
23-05-2017	668.21
22-05-2017	670.3
19-05-2017	675.8
18-05-2017	668.62
17-05-2017	666.26
16-05-2017	668.03
15-05-2017	671.03
12-05-2017	671.55
11-05-2017	672.92
10-05-2017	679.05
09-05-2017	676.32
08-05-2017	674.88
05-05-2017	673.89
04-05-2017	668.98
03-05-2017	666.95
02-05-2017	665.41
28-04-2017	664.28
27-04-2017	665.35
26-04-2017	660.04
25-04-2017	653.71
24-04-2017	650.65
21-04-2017	649.26
20-04-2017	647.68
18-04-2017	647.47
17-04-2017	650.00
13-04-2017	653.65
12-04-2017	652.8
11-04-2017	654.22
10-04-2017	656.47
07-04-2017	656.51
06-04-2017	657.74
05-04-2017	661.42
04-04-2017	658.16
03-04-2017	663.97
31-03-2017	662.66
30-03-2017	663.61
29-03-2017	666.04
28-03-2017	663.74
27-03-2017	661.64
24-03-2017	662.42
23-03-2017	662.84
22-03-2017	657.83
21-03-2017	662.35
20-03-2017	661.15
17-03-2017	661.2
16-03-2017	669.52
15-03-2017	669.07
14-03-2017	665.43
13-03-2017	663.4
10-03-2017	664.84
09-03-2017	661.65
08-03-2017	660.02
07-03-2017	658.71
